gene	FPKM	bivalency_status
Gnai3	3.62366	H3K4me3
Pbsn	0	H3K27me3
Cdc45	0.410244	H3K4me3
H19	0	H3K27me3
Scml2	0.0565992	none
Apoh	0	H3K4me3
Narf	6.14922	H3K4me3
Cav2	1.08062	Bivalent
Klf6	3.23739	H3K4me3
Scmh1	10.8749	H3K4me3
Cox5a	2.1896	H3K4me3
Tbx2	0.00813332	H3K27me3
Tbx4	0	H3K27me3
Zfy2	0	none
Ngfr	0.562368	Bivalent
Wnt3	0.0863017	H3K27me3
Wnt9a	0.174209	Bivalent
Fer	3.35068	H3K4me3
Xpo6	13.6925	H3K4me3
Tfe3	3.71426	H3K4me3
Axin2	4.50519	H3K4me3
Brat1	2.23037	H3K4me3
Gna12	4.37776	H3K4me3
Slc22a18	0	none
Itgb2l	0.011107	none
Igsf5	0	none
Pih1d2	1.40052	H3K4me3
Dlat	19.2469	H3K4me3
Sdhd	24.3689	H3K4me3
Fgf23	0.0890297	H3K27me3
Fgf6	0	none
Ccnd2	7.049	Bivalent
Gpr107	2.41429	H3K4me3
Nalcn	20.7534	H3K4me3
Btbd17	0.837721	none
Slfn4	0	none
Th	1.01736	none
Ins2	0	none
Scnn1g	0.0207222	H3K4me3
Drp2	5.02304	H3K4me3
Tspan32	0.058981	none
Lhx2	0.424479	H3K27me3
Clec2g	0	none
Gmpr	7.27311	H3K4me3
Glra1	0.139129	H3K27me3
Mid2	7.52995	H3K4me3
Trim25	0.467854	Bivalent
Dgke	18.1028	none
Scpep1	2.47245	H3K4me3
Mnt	9.54133	H3K4me3
Itgb2	0	none
Hddc2	5.41466	H3K4me3
Tpd52l1	20.1819	H3K4me3
Pemt	0.118397	H3K4me3
Cdh1	0.0125474	H3K27me3
Cdh4	7.01666	Bivalent
Ckmt1	44.5265	H3K4me3
Bcl6b	0.0676416	H3K27me3
Clec10a	0.0577912	none
Alox12	0.0283344	H3K27me3
Arvcf	2.79894	H3K4me3
Comt	33.7506	H3K4me3
Rtca	15.9766	H3K4me3
Dbt	3.32248	H3K4me3
Dazap2	7.45495	H3K4me3
Mcts1	2.242	H3K4me3
Rem1	0.0267349	H3K27me3
Rnf17	0.0906388	none
Trappc10	12.5225	H3K4me3
Ccm2	9.34727	H3K4me3
Wap	0.0427486	none
Tbrg4	6.70155	H3K4me3
Tmprss2	0	H3K27me3
Mx1	0.144014	none
Fap	0.0628844	none
Gcg	0	none
Ndufa9	32.043	H3K4me3
Egfl6	0.277388	H3K27me3
Lck	1.98501	none
Tssk3	0.178723	none
Cttnbp2	44.9712	H3K4me3
Galnt1	3.54231	H3K4me3
Myf5	0	H3K27me3
Mkrn2	4.05267	H3K4me3
Pparg	0.094425	Bivalent
Raf1	11.0906	H3K4me3
Sept1	0.463494	H3K4me3
Pdgfb	1.37892	H3K4me3
Acvrl1	1.66892	H3K27me3
Grasp	35.952	H3K4me3
Acvr1b	12.0845	H3K4me3
Tom1l2	37.783	H3K4me3
Gpa33	0	none
Zfp385a	11.069	H3K4me3
Itga5	2.18952	H3K4me3
Gabra2	40.3818	H3K4me3
Wdr77	5.17051	H3K4me3
Adora3	0.0157715	none
Atp5f1	91.5691	H3K4me3
Sox9	0.662635	Bivalent
Hnrnpd	138.225	H3K4me3
Dynlt1c	0.165034	none
C1d	2.35855	H3K4me3
Gm2a	1.76818	H3K4me3
Krit1	3.20559	H3K4me3
Clcn4	49.5388	none
Vmn2r88	0	none
Grm6	0	H3K27me3
Sema4f	5.24838	H3K4me3
Hk2	0.0445287	Bivalent
Myo18a	25.4115	H3K4me3
Sez6	450.744	H3K4me3
Haao	0.068959	none
Cd52	0.380273	none
Abhd15	0	H3K27me3
Hoxb6	0	H3K27me3
Loxl3	0.0493764	Bivalent
Tcl1b5	0	none
Btn1a1	0.0316794	H3K4me3
Kat2b	1.88208	H3K4me3
Rab5b	15.7272	H3K4me3
Cryba1	0	none
Dnmt3l	0	H3K27me3
Aire	0.0234462	H3K27me3
Icosl	0.0476839	Bivalent
Spg7	7.68053	none
Sult5a1	0	none
Rpl13	9.09406	H3K4me3
Chmp1a	9.71924	H3K4me3
Rpa1	10.5131	H3K4me3
Serpinf1	0.509527	none
Tubgcp3	7.26301	H3K4me3
Oprm1	5.6277	none
Polr3d	14.0943	H3K4me3
Tcf7	2.37886	H3K4me3
Ddx3x	28.4469	H3K4me3
Il12rb1	0	none
Slc5a5	1.55364	none
Kcnn3	12.4552	H3K4me3
Usp32	75.2975	H3K4me3
Car4	0.29694	H3K27me3
Txnrd3	23.4227	H3K4me3
Fasl	0	none
Zfp512b	14.0317	H3K4me3
Dnajc5	32.801	H3K4me3
Tpd52l2	6.58246	H3K4me3
Fmr1	18.7061	H3K4me3
Bcl11a	37.3224	H3K4me3
Il4	0.158577	none
Pxmp4	1.72934	H3K4me3
Dlg3	35.2034	H3K4me3
Gnb1l	0.598801	H3K4me3
Dbh	0	H3K27me3
Mmp11	1.10817	H3K4me3
Smarcb1	35.5429	H3K4me3
Vpreb3	0	none
Hip1r	11.9639	H3K4me3
Nsun5	0.481895	H3K4me3
Top1mt	8.31876	H3K4me3
Hoxa10	0	H3K27me3
Hoxa4	0	H3K27me3
Gm38393	6.86138	H3K4me3
Mmp14	0.357997	none
Slc7a7	0.181862	H3K27me3
Oxa1l	5.26368	H3K4me3
Heatr6	1.44468	Bivalent
Ccl3	0	none
Wfdc18	0	none
Icam4	0.248367	none
Ilf2	4.86735	H3K4me3
Chtop	27.6796	H3K4me3
Snapin	8.35158	H3K4me3
S100a4	0	none
S100a3	0	none
S100a5	0	none
S100a6	0.133272	H3K4me3
Scn4a	0.00507328	none
Icam2	0.454382	H3K27me3
Mapk7	2.85285	H3K4me3
Epn2	40.3702	H3K4me3
B9d1	1.91483	H3K4me3
Sec24b	34.9654	H3K4me3
N4bp3	3.69882	H3K4me3
Rmnd5b	11.8948	H3K4me3
Nhp2	13.2739	H3K4me3
Vps9d1	12.5306	H3K4me3
Zfp276	1.11674	H3K4me3
C1ql4	0	H3K27me3
Mfsd10	2.19146	H3K4me3
Luzp1	21.3727	H3K4me3
Slc13a2	0	none
Kctd10	12.0637	H3K4me3
Poldip2	7.94921	H3K4me3
Sebox	0.111965	none
Ift20	2.96817	H3K4me3
Col6a1	5.34703	H3K4me3
Pcbp3	28.551	H3K4me3
Lgals9	0.158725	none
Araf	39.1674	H3K4me3
Cfp	0.190965	none
Timp1	0.0374626	none
Uxt	1.20431	H3K4me3
Cnnm3	2.15833	H3K4me3
Lman2l	7.20332	H3K4me3
Mcm3ap	11.1622	H3K4me3
Pcnt	6.50023	H3K4me3
Ftcd	0	none
Mxd1	9.38301	H3K4me3
Gmcl1	8.12036	H3K4me3
Snrnp27	37.3074	H3K4me3
Oas1c	0.240618	none
Oas1h	0	none
Ocrl	14.2445	H3K4me3
Calm1	413.004	H3K4me3
Agpat3	57.176	H3K4me3
Slc26a3	0	none
Sema6b	22.5048	H3K4me3
Uhrf1	0.0396066	H3K4me3
Dpp9	12.1351	H3K4me3
Ramp2	1.1187	Bivalent
Lsr	0.187921	none
Gramd1a	16.4756	none
Hpn	0.0855341	none
Gabrg1	6.26524	H3K4me3
Ckb	422.974	H3K4me3
Sp1	2.88857	H3K4me3
Itgb7	0.124092	H3K27me3
Myg1	4.87576	H3K4me3
Rarg	2.10709	H3K4me3
Pfdn5	6.01359	H3K4me3
Efnb2	48.5058	H3K4me3
Rrp15	3.96378	H3K4me3
Rnd2	12.0702	H3K4me3
Srr	34.3672	H3K4me3
Sync	0.146066	H3K27me3
Fndc5	9.45557	H3K4me3
Acp5	0.0464636	none
Cnn1	0.354881	H3K27me3
Fbxo9	18.0169	H3K4me3
Vps50	8.72176	H3K4me3
Hars	24.8576	H3K4me3
Zmat2	15.5086	H3K4me3
Ube2c	0	H3K4me3
Smg5	8.96722	H3K4me3
Cct3	11.6345	H3K4me3
Glmp	7.90556	H3K4me3
Mef2d	48.0755	H3K4me3
Tmem79	0.0180326	H3K4me3
Snd1	65.8844	none
Col18a1	0.328307	H3K27me3
Slc19a1	2.5944	H3K4me3
Kpnb1	35.2012	H3K4me3
Npepps	27.3483	H3K4me3
Tbx21	0.0245633	H3K27me3
Mrpl10	7.87494	H3K4me3
Cyp51	7.41614	H3K4me3
Tcf25	37.9375	H3K4me3
Tubb6	2.685	H3K27me3
Def8	5.84312	H3K4me3
Meox1	0	H3K27me3
Sost	0	none
Nkx2-1	0.797557	H3K27me3
Pax9	0	H3K27me3
Irx2	0	H3K27me3
Col1a1	0.0193012	H3K27me3
Itga3	2.781	Bivalent
Sgca	0	none
Dlx3	0.159368	H3K27me3
Foxm1	0.363039	H3K4me3
Itfg2	10.5471	H3K4me3
Nrip2	3.33582	H3K4me3
Tulp3	2.15806	H3K4me3
Gtf2h4	4.75598	H3K4me3
Tubb5	115.364	H3K4me3
Ell2	1.97049	H3K4me3
Jup	17.4542	H3K4me3
Fkbp10	0.13304	H3K4me3
Klhl10	0.122208	H3K4me3
Mnx1	0	H3K27me3
Nom1	4.29374	H3K4me3
Ergic1	16.1735	H3K4me3
Tnk1	0	none
Acap1	0.0100462	none
Tcea3	0	H3K27me3
Csn3	0	H3K27me3
Ifrd1	13.1296	none
Stk38l	2.18673	H3K4me3
Brpf1	4.83387	H3K4me3
Akr1b3	10.192	H3K4me3
Hoxc13	0	H3K27me3
Hoxc11	0	H3K27me3
Hoxc8	0	H3K27me3
Hoxc6	0	H3K27me3
Gstt1	0.0331871	H3K27me3
Gstt3	0	H3K27me3
Ddt	8.1775	H3K4me3
Tat	0.0152461	H3K27me3
Marveld3	0.275255	H3K27me3
Ddx18	9.19944	H3K4me3
Ubl3	136.592	H3K4me3
Gramd3	0.0885334	H3K27me3
Eef1e1	7.5478	H3K4me3
Akt1	29.8703	H3K4me3
Cldn15	0	none
Il16	0.287598	none
Tcirg1	0.742651	none
Naglu	1.25832	H3K4me3
Coasy	1.38821	H3K4me3
Smo	0.246449	Bivalent
Tspan33	1.52681	H3K4me3
Crnkl1	10.4185	H3K4me3
Rin2	1.73047	H3K4me3
Folh1	0.469822	H3K4me3
Chordc1	4.03901	H3K4me3
Rtcb	37.7293	H3K4me3
Pwp1	2.33387	H3K4me3
Fbxo7	10.1828	H3K4me3
Capns1	31.2449	none
Lrp3	12.8959	H3K4me3
Dsg4	0	none
Evx2	0	H3K27me3
Hoxd13	0	H3K27me3
Hoxd12	0	H3K27me3
Folr1	0	none
Clpb	7.37397	H3K4me3
Sept7	14.1237	H3K4me3
Zdhhc4	4.06612	H3K4me3
Rac1	116.785	H3K4me3
Nup214	4.07622	H3K4me3
Aif1l	0.132508	H3K27me3
Cpa3	0	none
Ltbp1	0.0165847	Bivalent
Ugp2	7.98149	H3K4me3
Kcnh6	0.32453	none
Trmt1	3.10058	H3K4me3
Nacc1	52.8088	H3K4me3
Nfix	8.98048	Bivalent
Slc1a5	0.0225868	H3K27me3
Uba1	16.8573	H3K4me3
Vwf	0.322837	none
Siae	1.64847	none
Vsig2	1.75007	none
Esam	0.376042	none
Spa17	3.63504	H3K4me3
Fam50a	2.13824	H3K4me3
Emd	3.38619	H3K4me3
Taco1	2.36491	H3K4me3
Grik3	16.2054	Bivalent
Gria3	22.3151	H3K4me3
Npas1	0.719543	H3K27me3
Sipa1l2	5.59469	Bivalent
Ap4e1	0.90677	H3K4me3
Blvra	0.739445	H3K4me3
Pdzd4	44.9419	H3K4me3
Srpk3	0.403355	none
Idh3g	38.7771	H3K4me3
Pnck	19.3652	H3K4me3
Ssr4	5.61615	H3K4me3
Bcap31	13.7875	H3K4me3
Fam98a	3.79175	H3K4me3
Ltbp2	0.0853267	Bivalent
Kmt2a	21.1265	H3K4me3
Ift46	4.90298	H3K4me3
Tmem25	2.50938	H3K4me3
Cd3g	0	none
Trappc6a	1.49395	H3K4me3
Supt6	51.0788	H3K4me3
Spag5	0.0150565	H3K4me3
Foxn1	0	none
Unc119	1.28717	H3K4me3
Rab34	1.80937	H3K4me3
Sdf2	6.24319	H3K4me3
Ccne1	4.52496	H3K4me3
Hsf2bp	0.145823	H3K4me3
Bbc3	3.24985	none
Mybpc3	0.0271282	H3K27me3
Psmc3	17.9973	H3K4me3
Acp2	10.3812	H3K4me3
Rapsn	0.25485	none
Slc39a13	4.53451	H3K4me3
Celf2	143.431	none
Nr1h3	0.639302	H3K4me3
Ddb2	0.872285	H3K4me3
Spi1	0.191077	H3K27me3
Sf3a1	21.2688	H3K4me3
Stat6	0.728682	H3K4me3
Clgn	0.644055	H3K4me3
Napsa	0.104295	none
Vrk3	1.96435	H3K4me3
Smg9	3.67589	H3K4me3
Paxip1	8.00834	H3K4me3
Rmnd5a	23.6022	H3K4me3
Mov10	1.29323	H3K4me3
Ppm1j	0	H3K27me3
Rhoc	0	Bivalent
Prr27	0	none
Tead3	0.0105206	H3K4me3
Ppard	2.06063	H3K4me3
Def6	0.0610832	none
Peg3	95.95	H3K4me3
Zim1	1.15825	H3K4me3
Metrn	0.890795	none
Lmf1	4.37413	H3K4me3
Ciao3	2.16169	H3K4me3
Angptl4	0	none
Dbf4	0.324515	H3K4me3
Daxx	16.0268	H3K4me3
Cd320	2.35273	H3K4me3
Ipo4	22.6149	H3K4me3
Tm9sf1	22.8476	H3K4me3
Rec8	0.152293	none
Irf9	1.64076	H3K4me3
Gmpr2	1.34117	H3K4me3
Mdp1	14.7324	H3K4me3
Dhrs1	9.20938	H3K4me3
Ncan	29.2083	H3K4me3
Tmem161a	2.03489	H3K4me3
Armc6	5.47309	H3K4me3
Borcs8	4.38298	H3K4me3
Slc25a42	4.48379	H3K4me3
Snx9	0.650231	H3K4me3
Ranbp3	8.08071	H3K4me3
Ndufa11	10.4498	H3K4me3
Bmp8b	0.0346945	H3K27me3
Nr2f6	3.97977	H3K4me3
Use1	6.9018	H3K4me3
Ocel1	2.49286	H3K4me3
Dyrk1b	4.60583	H3K4me3
Braf	39.8912	H3K4me3
Ndufb2	6.33923	H3K4me3
Hltf	3.83188	H3K4me3
Prpf6	6.68346	H3K4me3
Rgs19	11.8374	H3K4me3
Rgs20	31.7579	H3K4me3
Abhd3	2.30809	H3K4me3
Snrpd1	6.69453	H3K4me3
Tchp	2.12989	H3K4me3
Tiam1	57.3501	H3K4me3
Tsc2	18.9926	H3K4me3
Rpl3l	0.028471	none
Slc9a3r2	11.2169	H3K4me3
Puf60	44.8835	H3K4me3
Golga2	14.9266	H3K4me3
Uck1	7.49295	H3K4me3
Scin	0.067671	H3K27me3
Ikzf4	2.88195	H3K4me3
Mien1	10.6928	H3K4me3
Pon1	0	none
Axl	0.438051	H3K27me3
Tgfb1	0.101741	Bivalent
Ccdc97	14.2624	H3K4me3
Zfp40	4.76142	H3K4me3
Akap8l	32.1711	H3K4me3
Shh	0.862238	H3K4me3
Pdcd2l	4.54973	H3K4me3
Gtf2f1	36.6529	H3K4me3
Clpp	4.70671	H3K4me3
Alkbh7	5.7161	H3K4me3
Pspn	0	none
Dennd1c	0.0360067	none
Med6	10.127	H3K4me3
Prkd1	1.12175	H3K4me3
Lcp2	0.185595	none
Cse1l	2.82334	H3K4me3
Naa20	7.23628	H3K4me3
Prkra	1.69844	H3K4me3
Fkbp7	1.04974	H3K4me3
Plekha3	2.03191	H3K4me3
Ykt6	4.70735	H3K4me3
Baz1b	23.0762	H3K4me3
Pex6	7.90746	H3K4me3
Mrpl2	6.93892	H3K4me3
Mea1	25.8298	none
Gnmt	0	none
Grin2d	1.48009	none
Kdelr1	7.72434	Bivalent
Tmem143	2.88692	H3K4me3
Pdxk-ps	0.0133622	none
Ggct	11.6101	H3K4me3
Jag2	3.47645	H3K4me3
Btbd6	22.6339	H3K4me3
Nudt14	1.20182	H3K4me3
Epdr1	41.0388	Bivalent
Flii	7.28651	H3K4me3
Top3a	1.06507	H3K4me3
Atg4d	2.88567	H3K4me3
Qtrt1	2.28856	H3K4me3
Plin4	0.0797502	none
Hdgfl2	21.4942	H3K4me3
Chaf1a	0.628028	H3K4me3
Adprh	17.5566	H3K4me3
Tmem39a	1.39506	H3K27me3
Timmdc1	10.2151	H3K4me3
Pla1a	0	none
Mcm2	2.1963	none
Tpra1	4.85894	H3K4me3
Nab1	8.15667	H3K4me3
Adgre5	0.346326	H3K27me3
Il17ra	0.708803	Bivalent
Lamb1	6.64043	H3K4me3
Kcnn1	6.53939	H3K4me3
Arrdc2	1.4072	H3K4me3
Ppp1r17	0.0368212	H3K27me3
Cd36	0.148769	H3K27me3
Map2k7	30.2034	H3K4me3
Timm44	21.1671	H3K4me3
Ap2a2	16.2977	H3K4me3
Pnkp	1.17777	H3K4me3
Med25	11.2144	H3K4me3
Bcam	0.654098	H3K27me3
Clptm1	38.1745	H3K4me3
Relb	1.15042	H3K4me3
Tomm40	16.3572	H3K4me3
Apoe	29.6443	Bivalent
Apoc2	0	none
Hbp1	3.41729	H3K4me3
Prkar2b	68.3027	H3K4me3
Cdkn1b	5.75847	H3K4me3
Klf4	0.420974	Bivalent
Ap1m1	10.7816	H3K4me3
Rab8a	2.0018	H3K4me3
Hmgn2	22.4229	H3K4me3
Fam32a	11.8984	H3K4me3
Elf3	0	none
Cyp2c29	0	none
Stard3nl	7.50927	H3K4me3
Stk11	7.98522	H3K4me3
Efna2	2.11655	H3K4me3
Atp5d	43.4751	H3K4me3
Ppp5c	34.9807	H3K4me3
Cdk12	3.94368	H3K4me3
Lipe	2.53344	none
Pafah1b2	70.5164	H3K4me3
Tbc1d8	22.4822	H3K4me3
Cnot11	4.44931	H3K4me3
Slc2a3	37.1243	H3K4me3
Foxj2	10.9416	H3K4me3
Sri	4.22275	none
Dgcr2	22.6538	none
Irf3	2.12953	H3K4me3
Bcl2l12	0	H3K4me3
Zfp959	0.998796	H3K4me3
Mpnd	20.3195	none
Sh3gl1	4.34592	H3K4me3
Ebi3	0.0841233	none
Yju2	2.31186	H3K4me3
Ranbp2	21.7865	H3K4me3
Edar	0.0253769	H3K27me3
Grk5	2.04968	H3K4me3
Dvl3	4.35976	H3K4me3
Abcf3	8.73582	H3K4me3
Eif2b5	4.60076	H3K4me3
Cyth2	30.5518	H3K4me3
Sult2b1	1.99183	H3K4me3
Car11	10.3808	H3K4me3
Dlgap1	32.3693	H3K4me3
Plag1	1.0013	Bivalent
Hck	0.0175464	H3K27me3
Mrpl4	3.2015	H3K4me3
Keap1	21.3209	H3K4me3
Ap1m2	0.327755	none
Glg1	51.317	H3K4me3
Atp8b3	0	none
Btbd2	20.7751	H3K4me3
Csnk1g2	18.2546	H3K4me3
Abhd17a	11.8401	H3K4me3
Mob3a	1.61141	H3K4me3
Cacnb3	21.7997	H3K27me3
Ccdc65	1.48491	H3K4me3
Fkbp11	0.109683	H3K4me3
Ddx23	30.3136	H3K4me3
Pld3	144.225	H3K4me3
Grik5	37.2141	H3K4me3
Cd79a	0	none
Rabac1	14.4568	H3K4me3
Etv3	5.50373	H3K4me3
Prkcsh	5.30546	H3K4me3
Elavl3	78.2145	H3K4me3
Rab3b	23.9898	H3K4me3
St8sia6	0.381229	Bivalent
Fcgrt	0.247337	none
Nosip	10.1828	H3K4me3
Pih1d1	5.36287	H3K4me3
Rps11	20.0537	H3K4me3
Supt5	29.6375	H3K4me3
Dll3	0.133849	H3K27me3
Paf1	20.9064	H3K4me3
Timm50	4.41483	H3K4me3
Med29	5.39053	H3K4me3
Bicd1	10.0455	H3K4me3
Ncstn	9.60437	H3K4me3
Pex19	10.0609	H3K4me3
Phyhip	170.493	H3K4me3
Crhr2	0.386896	none
Inmt	0	none
Cyp4f18	0.136853	none
Impdh1	15.1226	H3K4me3
Psg18	0	none
Dusp3	30.3849	none
Prodh	0.801633	Bivalent
Ess2	5.9149	H3K4me3
Slc25a1	10.3553	H3K4me3
Dgcr6	6.89358	none
Ddr1	7.14251	none
Ier3	2.37904	H3K4me3
Fosb	6.47306	H3K4me3
Klc4	4.39355	H3K4me3
Ercc1	0.799116	H3K4me3
Cyp17a1	0	none
As3mt	0.161804	H3K27me3
Homer3	0.0279052	H3K4me3
Crtc1	35.8381	H3K4me3
Rnf215	1.8148	H3K4me3
Sec14l2	8.77273	none
Aven	2.78142	H3K4me3
