gene	FPKM	bivalency_status
Gnai3	3.62351	H3K4me3
Pbsn	0	none
Cdc45	0.368423	H3K4me3
H19	0	H3K27me3
Scml2	0.0637408	none
Apoh	0	none
Narf	5.37211	H3K4me3
Cav2	0.712038	Bivalent
Klf6	2.0098	Bivalent
Scmh1	13.8535	H3K4me3
Cox5a	1.60718	H3K4me3
Tbx2	0.0194411	H3K27me3
Tbx4	0	H3K27me3
Zfy2	0	none
Ngfr	1.89833	Bivalent
Wnt3	0.0735756	H3K27me3
Wnt9a	0.102732	Bivalent
Fer	3.96225	Bivalent
Xpo6	13.7927	H3K4me3
Tfe3	4.24232	none
Axin2	4.78592	none
Brat1	1.98671	none
Gna12	3.66662	Bivalent
Slc22a18	0	H3K27me3
Itgb2l	0.034883	none
Igsf5	0	none
Pih1d2	1.22103	H3K4me3
Dlat	19.5831	H3K4me3
Sdhd	26.7393	H3K4me3
Fgf23	0.0163939	H3K27me3
Fgf6	0	H3K27me3
Ccnd2	9.1735	H3K27me3
Gpr107	2.91778	H3K4me3
Nalcn	22.1553	H3K4me3
Btbd17	0.315529	H3K27me3
Slfn4	0	H3K27me3
Th	2.09435	H3K27me3
Ins2	0.21786	none
Scnn1g	0.0170014	Bivalent
Drp2	5.2095	none
Tspan32	0.00588335	none
Lhx2	0.272193	Bivalent
Clec2g	0	none
Gmpr	6.89476	H3K4me3
Glra1	0.527212	Bivalent
Mid2	7.5542	H3K4me3
Trim25	0.528873	Bivalent
Dgke	17.9663	H3K27me3
Scpep1	2.13833	H3K4me3
Mnt	8.22416	none
Itgb2	0.0568985	H3K27me3
Hddc2	4.22587	H3K4me3
Tpd52l1	24.1589	H3K4me3
Pemt	0.319197	H3K4me3
Cdh1	0.0100861	Bivalent
Cdh4	7.8213	H3K27me3
Ckmt1	45.5033	Bivalent
Bcl6b	0.0145881	H3K27me3
Clec10a	0	none
Alox12	0.0107607	Bivalent
Arvcf	2.93378	none
Comt	37.2517	H3K4me3
Rtca	16.5401	H3K4me3
Dbt	3.58245	H3K4me3
Dazap2	6.88269	H3K4me3
Mcts1	2.06547	H3K4me3
Rem1	0.0187867	Bivalent
Rnf17	0.0696726	H3K27me3
Trappc10	12.428	H3K4me3
Ccm2	10.0758	H3K4me3
Wap	0	none
Tbrg4	8.59437	H3K4me3
Tmprss2	0.0125408	Bivalent
Mx1	0	H3K27me3
Fap	0.0113665	none
Gcg	0.0346551	none
Ndufa9	32.8139	Bivalent
Egfl6	0.179638	Bivalent
Lck	1.13002	H3K27me3
Tssk3	0.0507325	H3K27me3
Cttnbp2	47.4367	none
Galnt1	3.44897	H3K4me3
Myf5	0	H3K27me3
Mkrn2	4.50565	H3K4me3
Pparg	0.120893	Bivalent
Raf1	11.6994	H3K4me3
Sept1	0.545635	H3K4me3
Pdgfb	1.3869	H3K27me3
Acvrl1	1.68659	H3K27me3
Grasp	40.4484	H3K4me3
Acvr1b	12.5549	Bivalent
Tom1l2	35.6926	H3K4me3
Gpa33	0	H3K27me3
Zfp385a	11.6122	H3K27me3
Itga5	2.56094	Bivalent
Gabra2	41.2315	H3K4me3
Wdr77	5.08848	H3K4me3
Adora3	0	none
Atp5f1	99.7207	H3K4me3
Sox9	0.908707	H3K27me3
Hnrnpd	147.187	H3K4me3
Dynlt1c	0.0756367	none
C1d	2.95101	H3K4me3
Gm2a	1.52817	H3K4me3
Krit1	3.0992	H3K4me3
Clcn4	46.7753	none
Vmn2r88	0	none
Grm6	0.013469	Bivalent
Sema4f	5.18224	Bivalent
Hk2	0.0387527	H3K27me3
Myo18a	23.6559	none
Sez6	516.213	H3K27me3
Haao	0.0544842	H3K4me3
Cd52	0.161073	H3K27me3
Abhd15	0.0982081	Bivalent
Hoxb6	0	H3K27me3
Loxl3	0.00824913	H3K27me3
Tcl1b5	0	none
Btn1a1	0	H3K27me3
Kat2b	1.10702	H3K4me3
Rab5b	15.4236	H3K4me3
Cryba1	0	none
Dnmt3l	0	H3K27me3
Aire	0	Bivalent
Icosl	0.0208611	Bivalent
Spg7	8.01223	none
Sult5a1	0	H3K27me3
Rpl13	9.14621	H3K4me3
Chmp1a	9.66771	H3K4me3
Rpa1	10.4701	H3K4me3
Serpinf1	1.77288	none
Tubgcp3	7.7188	H3K4me3
Oprm1	6.40526	none
Polr3d	13.386	H3K4me3
Tcf7	2.20386	Bivalent
Ddx3x	27.5058	none
Il12rb1	0	H3K27me3
Slc5a5	0.900906	H3K27me3
Kcnn3	13.3155	none
Usp32	63.2481	H3K4me3
Car4	0.518166	Bivalent
Txnrd3	1.17529	Bivalent
Fasl	0	none
Zfp512b	15.9727	H3K4me3
Dnajc5	33.8347	H3K4me3
Tpd52l2	6.46372	H3K4me3
Fmr1	15.8745	H3K4me3
Bcl11a	38.3297	H3K27me3
Il4	0	none
Pxmp4	1.95599	Bivalent
Dlg3	38.1642	none
Gnb1l	0.9609	H3K4me3
Dbh	0	none
Mmp11	0.464359	Bivalent
Smarcb1	40.7625	H3K4me3
Vpreb3	0.0591894	none
Hip1r	13.1223	H3K4me3
Nsun5	0.530669	H3K4me3
Top1mt	8.60448	Bivalent
Hoxa10	0	H3K27me3
Hoxa4	0	H3K27me3
Gm38393	5.59169	H3K4me3
Mmp14	0.567657	H3K27me3
Slc7a7	0.139483	H3K27me3
Oxa1l	6.08592	H3K4me3
Heatr6	1.73125	Bivalent
Ccl3	0	none
Wfdc18	0.0997119	H3K27me3
Icam4	0.0135959	H3K27me3
Ilf2	4.90979	H3K4me3
Chtop	27.1545	Bivalent
Snapin	9.13278	H3K4me3
S100a4	0	none
S100a3	0.157533	H3K4me3
S100a5	0	none
S100a6	0.546107	none
Scn4a	0	none
Icam2	0.141569	H3K27me3
Mapk7	2.49703	H3K4me3
Epn2	43.2267	H3K4me3
B9d1	4.0567	H3K4me3
Sec24b	40.2133	H3K4me3
N4bp3	2.89785	Bivalent
Rmnd5b	11.615	H3K4me3
Nhp2	15.7888	H3K4me3
